numberOfData, addingTime, findingTime, deletingTime
494, 800, 1200, 1400
495, 1300, 1400, 1600
496, 700, 1300, 7100
497, 900, 1700, 1500
498, 900, 1800, 2100
499, 1200, 2200, 3100
500, 600, 1400, 1600
501, 1400, 1400, 1900
502, 1300, 1400, 6100
503, 800, 1400, 1300
504, 900, 1900, 1800
505, 700, 2300, 1700
506, 1000, 1700, 3800
507, 900, 2100, 1600
508, 1100, 2300, 1500
509, 700, 1400, 1300
510, 700, 1600, 1400
511, 1900, 3600, 2500
512, 1100, 4200, 5100
513, 400, 1700, 1700
514, 1100, 2400, 1600
515, 1400, 2400, 1700
516, 700, 2000, 1600
517, 800, 2700, 1400
518, 700, 1700, 1600
519, 1700, 1700, 1600
520, 1600, 5400, 24800
521, 1600, 2100, 1900
522, 700, 1300, 1600
523, 700, 2800, 1500
524, 900, 1400, 3200
525, 1100, 2100, 3100
526, 1700, 3100, 2700
527, 1500, 2500, 2000
528, 700, 2400, 1600
529, 1800, 2400, 1500
530, 1100, 1400, 2200
531, 1000, 2000, 1600
532, 800, 2400, 1500
533, 900, 1500, 1900
534, 600, 1400, 1400
535, 600, 2300, 1700
536, 800, 1400, 1600
537, 1200, 1500, 2600
538, 500, 2600, 1800
539, 600, 1300, 1400
540, 700, 1700, 1200
541, 400, 2400, 2100
542, 800, 2600, 3200
543, 500, 1600, 1600
544, 600, 1300, 1500
545, 1300, 1200, 3000
546, 500, 1300, 1500
547, 700, 1200, 1800
548, 800, 1200, 2700
549, 600, 1500, 1500
550, 500, 1200, 1400
551, 800, 1300, 2700
552, 1200, 1300, 1500
553, 500, 1500, 1400
554, 700, 1600, 2700
555, 600, 1900, 1900
556, 600, 1900, 1700
557, 800, 1300, 2600
558, 900, 1300, 1900
559, 1300, 2300, 1800
560, 700, 1200, 3200
561, 600, 1700, 1200
562, 3700, 12000, 4600
563, 11900, 3900, 10800
564, 1500, 1600, 2300
565, 600, 1400, 1700
566, 500, 1200, 2600
567, 700, 1300, 1700
568, 700, 1200, 1400
569, 1500, 2100, 1700
570, 400, 1200, 1300
571, 900, 1200, 1500
572, 600, 2100, 1700
573, 1000, 1200, 1500
574, 900, 1600, 2900
575, 600, 2200, 1500
576, 1300, 1300, 2600
577, 400, 2800, 2600
578, 1200, 3200, 1800
579, 600, 1200, 1400
580, 4000, 12700, 6500
581, 39700, 18200, 11900
582, 1500, 5900, 2300
583, 1000, 1500, 1600
584, 800, 2100, 2400
585, 800, 1300, 1600
586, 400, 1200, 1300
587, 1300, 2300, 1800
588, 1000, 1100, 2000
589, 1300, 1200, 1600
590, 1000, 2200, 1200
591, 200, 1300, 49000
592, 1400, 25100, 23300
593, 3000, 3900, 1900
594, 1000, 1100, 1100
595, 1300, 2100, 1700
596, 900, 2100, 2000
597, 600, 1300, 1100
598, 500, 1200, 1200
599, 600, 11900, 1200
600, 1100, 3400, 2600
601, 1200, 1100, 1700
602, 300, 1200, 1000
603, 600, 900, 1900
604, 900, 1100, 1000
605, 1000, 1100, 1100
606, 600, 1100, 2000
607, 1000, 1800, 1700
608, 600, 1300, 1300
609, 500, 2100, 1300
610, 900, 1100, 1100
611, 800, 1000, 1100
612, 600, 2000, 1100
613, 800, 1100, 1000
614, 1300, 1000, 1600
615, 2600, 8700, 14200
616, 2200, 5900, 3300
617, 3400, 3100, 1900
618, 900, 3900, 2300
619, 1100, 1700, 1900
620, 1700, 1600, 2700
621, 1300, 3000, 2900
622, 900, 1600, 1600
623, 1400, 1600, 1500
624, 1300, 59400, 11800
625, 2500, 7700, 4400
626, 4900, 5300, 3100
627, 5100, 9300, 6500
628, 2900, 5500, 8700
629, 2100, 3900, 3800
630, 3200, 5000, 4200
631, 1900, 4400, 7100
632, 2000, 4600, 3500
633, 2900, 6000, 6100
634, 2300, 4400, 8400
635, 3100, 5800, 6000
636, 3000, 10300, 5400
637, 3500, 6400, 7400
638, 5200, 11600, 7000
639, 3700, 9900, 5900
640, 1800, 8800, 6200
641, 3100, 5000, 4100
642, 4700, 14200, 5600
643, 1300, 8700, 5500
644, 1500, 3900, 3700
645, 3100, 4600, 3800
646, 2500, 7600, 5300
647, 1700, 3700, 3000
648, 2000, 4500, 3600
649, 2000, 8400, 4400
650, 2900, 5000, 7900
651, 1500, 4900, 3600
652, 3500, 6600, 4100
653, 2000, 3800, 8900
654, 1400, 6400, 3600
655, 1500, 24000, 8300
656, 1800, 7700, 10100
657, 1400, 4900, 14800
658, 26300, 10300, 18300
659, 1700, 33300, 21700
660, 2600, 3100, 3800
661, 400, 1100, 1300
662, 1700, 1100, 2400
